,client_id,Variation,Control,Test
0,9988021,Test,False,True
1,8320017,Test,False,True
2,4033851,Control,True,False
3,1982004,Test,False,True
4,9294070,Control,True,False
5,9466803,Test,False,True
6,3170143,Test,False,True
7,6651403,Control,True,False
8,5887227,Test,False,True
9,2105948,Control,True,False
10,438567,Test,False,True
11,2519971,Test,False,True
12,9814849,Control,True,False
13,5407849,Test,False,True
14,7286739,Control,True,False
15,4446011,Control,True,False
16,5308474,Test,False,True
17,2991219,Test,False,True
18,2354414,Test,False,True
19,949210,Test,False,True
20,4229407,Control,True,False
21,9987707,Test,False,True
22,2709011,Test,False,True
23,4507502,Test,False,True
24,2842481,Control,True,False
25,2317698,Test,False,True
26,3013805,Test,False,True
27,1218661,Control,True,False
28,2965703,Test,False,True
29,1712929,Control,True,False
30,2328234,Test,False,True
31,800925,Control,True,False
32,6685654,Test,False,True
33,8766054,Test,False,True
34,4726500,Test,False,True
35,9504867,Test,False,True
36,1242238,Control,True,False
37,7800773,Test,False,True
38,9477476,Control,True,False
39,1338778,Control,True,False
40,6584990,Control,True,False
41,7859827,Test,False,True
42,7407692,Test,False,True
43,7040762,Control,True,False
44,9900469,Test,False,True
45,5169372,Control,True,False
46,5267250,Control,True,False
47,2079440,Test,False,True
48,5376894,Test,False,True
49,3751049,Control,True,False
50,8240010,Test,False,True
51,6110816,Test,False,True
52,2550129,Test,False,True
53,9912156,Control,True,False
54,7690370,Test,False,True
55,9885354,Test,False,True
56,1962381,Test,False,True
57,229701,Control,True,False
58,2818303,Control,True,False
59,6229916,Test,False,True
60,9358626,Control,True,False
61,4773291,Control,True,False
62,4953263,Control,True,False
63,522661,Test,False,True
64,3754789,Control,True,False
65,3066535,Control,True,False
66,9545426,Control,True,False
67,4778144,Control,True,False
68,2000786,Control,True,False
69,1532932,Test,False,True
70,9096386,Test,False,True
71,6986475,Control,True,False
72,7996704,Control,True,False
73,2211277,Test,False,True
74,9268841,Test,False,True
75,4213800,Control,True,False
76,1763518,Control,True,False
77,7485024,Test,False,True
78,2437471,Control,True,False
79,1628554,Test,False,True
80,9744906,Test,False,True
81,7289266,Control,True,False
82,3883711,Test,False,True
83,8123801,Test,False,True
84,598943,Control,True,False
85,8491121,Test,False,True
86,8861901,Control,True,False
87,6853744,Control,True,False
88,1404893,Control,True,False
89,768936,Test,False,True
90,5408845,Test,False,True
91,9336495,Control,True,False
92,4744361,Control,True,False
93,2397739,Test,False,True
94,2136502,Test,False,True
95,7501437,Test,False,True
96,9628154,Control,True,False
97,9293919,Control,True,False
98,5318449,Test,False,True
99,5022038,Test,False,True
100,2565373,Control,True,False
101,5745157,Test,False,True
102,6653427,Test,False,True
103,6071019,Control,True,False
104,632316,Test,False,True
105,1152171,Test,False,True
106,8188670,Control,True,False
107,1021747,Test,False,True
108,226198,Test,False,True
109,6216233,Control,True,False
110,1846219,Test,False,True
111,2093449,Test,False,True
112,7902892,Test,False,True
113,722917,Test,False,True
114,4747144,Control,True,False
115,2199722,Test,False,True
116,2235331,Test,False,True
117,8313694,Control,True,False
118,2382696,Test,False,True
119,2679453,Control,True,False
120,7276973,Control,True,False
121,4532572,Test,False,True
122,8771952,Test,False,True
123,5256566,Control,True,False
124,1342790,Control,True,False
125,9775174,Test,False,True
126,3703187,Test,False,True
127,2769120,Control,True,False
128,6031726,Test,False,True
129,8870709,Control,True,False
130,2145511,Control,True,False
131,461846,Control,True,False
132,4878112,Control,True,False
133,843249,Test,False,True
134,5018154,Test,False,True
135,9414396,Control,True,False
136,6650565,Control,True,False
137,2062199,Control,True,False
138,6682559,Test,False,True
139,9516496,Test,False,True
140,3382939,Test,False,True
141,7833565,Test,False,True
142,9448266,Test,False,True
143,2406356,Test,False,True
144,7112284,Control,True,False
145,6141432,Control,True,False
146,2015197,Control,True,False
147,5429577,Control,True,False
148,1636347,Control,True,False
149,4577314,Control,True,False
150,3068817,Test,False,True
151,2358419,Test,False,True
152,6283739,Control,True,False
153,8289357,Test,False,True
154,1423857,Control,True,False
155,117916,Test,False,True
156,2810561,Test,False,True
157,2040881,Control,True,False
158,6547909,Control,True,False
159,9774553,Test,False,True
160,203702,Control,True,False
161,2336869,Control,True,False
162,3638107,Control,True,False
163,391025,Control,True,False
164,6954534,Test,False,True
165,7636277,Control,True,False
166,8100455,Test,False,True
167,3548541,Test,False,True
168,2050360,Test,False,True
169,8675285,Test,False,True
170,868124,Control,True,False
171,8241574,Test,False,True
172,559169,Control,True,False
173,2276090,Control,True,False
174,1095432,Test,False,True
175,3036660,Control,True,False
176,5546524,Control,True,False
177,3544855,Test,False,True
178,7474517,Control,True,False
179,7212234,Test,False,True
180,9207047,Test,False,True
181,452583,Control,True,False
182,7762269,Test,False,True
183,7599262,Test,False,True
184,945176,Control,True,False
185,7690452,Test,False,True
186,5537612,Test,False,True
187,4256611,Test,False,True
188,2889049,Control,True,False
189,137412,Test,False,True
190,171492,Test,False,True
191,668996,Control,True,False
192,8076294,Control,True,False
193,8893466,Test,False,True
194,4727155,Test,False,True
195,4493573,Test,False,True
196,2797397,Control,True,False
197,6480779,Control,True,False
198,257840,Test,False,True
199,7340414,Control,True,False
200,5221768,Test,False,True
201,2306578,Test,False,True
202,9700346,Test,False,True
203,192518,Test,False,True
204,5163125,Control,True,False
205,5821983,Control,True,False
206,1884538,Control,True,False
207,902895,Test,False,True
208,841242,Control,True,False
209,872142,Control,True,False
210,3480918,Test,False,True
211,8203999,Test,False,True
212,617840,Control,True,False
213,1929698,Control,True,False
214,8963925,Test,False,True
215,7758940,Test,False,True
216,8319726,Test,False,True
217,298590,Test,False,True
218,2856502,Test,False,True
219,6930182,Test,False,True
220,965266,Control,True,False
221,2465098,Test,False,True
222,1667380,Test,False,True
223,8701900,Test,False,True
224,5133382,Test,False,True
225,913704,Test,False,True
226,1519456,Test,False,True
227,8424645,Control,True,False
228,7284366,Test,False,True
229,1933359,Test,False,True
230,4506445,Test,False,True
231,8366788,Test,False,True
232,7214811,Test,False,True
233,6819326,Control,True,False
234,2475049,Control,True,False
235,6394423,Test,False,True
236,3081313,Control,True,False
237,9292160,Test,False,True
238,493311,Control,True,False
239,4470019,Test,False,True
240,6442081,Test,False,True
241,8416851,Control,True,False
242,1938076,Test,False,True
243,1907109,Test,False,True
244,2852997,Control,True,False
245,7979476,Test,False,True
246,5255030,Test,False,True
247,3633784,Test,False,True
248,7161996,Test,False,True
249,9707270,Control,True,False
250,4772716,Control,True,False
251,9888375,Control,True,False
252,1161478,Test,False,True
253,7669299,Test,False,True
254,3827180,Control,True,False
255,1970830,Control,True,False
256,1640688,Control,True,False
257,676552,Test,False,True
258,3399501,Test,False,True
259,3543788,Test,False,True
260,7902599,Test,False,True
261,8068308,Control,True,False
262,4638153,Control,True,False
263,1788838,Control,True,False
264,693101,Test,False,True
265,6520285,Test,False,True
266,9997114,Control,True,False
267,3286605,Control,True,False
268,1751757,Test,False,True
269,1064690,Control,True,False
270,2038707,Control,True,False
271,297472,Control,True,False
272,2160702,Control,True,False
273,2289897,Control,True,False
274,4657902,Test,False,True
275,6960009,Control,True,False
276,6665317,Test,False,True
277,2057773,Control,True,False
278,7523181,Control,True,False
279,5324253,Test,False,True
280,860745,Control,True,False
281,5340072,Test,False,True
282,5226626,Test,False,True
283,4520186,Test,False,True
284,219230,Control,True,False
285,3369137,Control,True,False
286,7479054,Control,True,False
287,4244891,Test,False,True
288,4384098,Control,True,False
289,7582150,Control,True,False
290,8308363,Test,False,True
291,8165914,Test,False,True
292,3520993,Control,True,False
293,5645966,Control,True,False
294,9378146,Control,True,False
295,148369,Test,False,True
296,5192659,Test,False,True
297,7007069,Control,True,False
298,127921,Test,False,True
299,3310785,Control,True,False
300,7423412,Control,True,False
301,8279228,Test,False,True
302,588240,Control,True,False
303,7699381,Control,True,False
304,7046133,Control,True,False
305,9364005,Test,False,True
306,5459195,Test,False,True
307,6442655,Test,False,True
308,7449461,Test,False,True
309,4963381,Test,False,True
310,6456062,Control,True,False
311,4823947,Control,True,False
312,8860992,Control,True,False
313,530654,Control,True,False
314,3347759,Control,True,False
315,7873338,Control,True,False
316,169185,Test,False,True
317,6980919,Test,False,True
318,6519269,Test,False,True
319,1638971,Test,False,True
320,7984549,Test,False,True
321,4137841,Test,False,True
322,459221,Test,False,True
323,3430793,Test,False,True
324,4853470,Test,False,True
325,8696517,Control,True,False
326,5751565,Test,False,True
327,3968370,Control,True,False
328,1718250,Test,False,True
329,6058534,Test,False,True
330,6597561,Control,True,False
331,6098661,Test,False,True
332,8861365,Test,False,True
333,2346575,Test,False,True
334,7973780,Control,True,False
335,5119497,Control,True,False
336,2532775,Test,False,True
337,3155140,Control,True,False
338,924852,Test,False,True
339,8330343,Test,False,True
340,8607482,Test,False,True
341,4827059,Control,True,False
342,4785260,Test,False,True
343,4778491,Test,False,True
344,7200160,Test,False,True
345,304982,Control,True,False
346,7177069,Test,False,True
347,9059531,Control,True,False
348,3130496,Test,False,True
349,7705990,Test,False,True
350,133101,Control,True,False
351,2790745,Test,False,True
352,2498676,Test,False,True
353,8988721,Control,True,False
354,6224299,Control,True,False
355,3217890,Control,True,False
356,9403921,Control,True,False
357,2356366,Control,True,False
358,453167,Control,True,False
359,372523,Control,True,False
360,2611324,Test,False,True
361,8766886,Test,False,True
362,3106431,Test,False,True
363,5615453,Test,False,True
364,7087847,Control,True,False
365,8760103,Test,False,True
366,5786954,Test,False,True
367,3175977,Test,False,True
368,5124813,Test,False,True
369,7221996,Test,False,True
370,7422759,Control,True,False
371,8609229,Test,False,True
372,9176963,Test,False,True
373,589292,Test,False,True
374,5417457,Control,True,False
375,863704,Control,True,False
376,117276,Test,False,True
377,7441896,Control,True,False
378,7763445,Test,False,True
379,7359292,Test,False,True
380,4101033,Control,True,False
381,1180583,Control,True,False
382,246429,Test,False,True
383,395074,Test,False,True
384,6006542,Test,False,True
385,1424799,Test,False,True
386,4251309,Test,False,True
387,5026927,Test,False,True
388,8512093,Test,False,True
389,8959766,Test,False,True
390,413157,Control,True,False
391,7448926,Control,True,False
392,806192,Test,False,True
393,1542033,Test,False,True
394,3432043,Test,False,True
395,1406408,Test,False,True
396,4694039,Test,False,True
397,2155192,Test,False,True
398,2657900,Control,True,False
399,4514754,Control,True,False
400,1673947,Control,True,False
401,4961256,Test,False,True
402,3413971,Control,True,False
403,2323637,Test,False,True
404,1209140,Test,False,True
405,85097,Control,True,False
406,2262795,Control,True,False
407,4501407,Test,False,True
408,5593703,Test,False,True
409,1461831,Test,False,True
410,5867403,Test,False,True
411,8825647,Control,True,False
412,2314843,Test,False,True
413,219207,Test,False,True
414,3535465,Test,False,True
415,4878070,Test,False,True
416,7337058,Control,True,False
417,3498908,Control,True,False
418,77276,Test,False,True
419,4630285,Control,True,False
420,5667617,Test,False,True
421,8184247,Control,True,False
422,7787684,Control,True,False
423,4247007,Control,True,False
424,7644707,Test,False,True
425,8620721,Control,True,False
426,1818956,Control,True,False
427,2211868,Control,True,False
428,5437254,Test,False,True
429,3584819,Control,True,False
430,6303538,Control,True,False
431,897477,Control,True,False
432,8003648,Control,True,False
433,5456658,Control,True,False
434,3846126,Test,False,True
435,5673767,Test,False,True
436,2558586,Test,False,True
437,4008787,Test,False,True
438,6917138,Test,False,True
439,2333006,Control,True,False
440,9067031,Test,False,True
441,7761694,Test,False,True
442,2043345,Test,False,True
443,4209246,Test,False,True
444,5238758,Test,False,True
445,1373405,Test,False,True
446,8277940,Control,True,False
